Дата выпуска,Название,Ссылка,Описание,Суммарное кол-во просмотров
23.01.2023,Страсти по Надежде,https://m-zh.ru/muzhskoe-zhenskoe-23-01-2023-segodnyashnij-vypusk.html,"Из-за пятилетнего Жени настоящий переполох — отец ребенка выкрал его у бывшей жены, отдал чужой женщине, а сам скрылся в неизвестном направлении. Вот уже 3 года биологическая мать Жени Надежда обивает все пороги, надеясь найти мальчика и вернуть его в семью. Тем временем Катя воспитывает Женю как родного и считает, что мальчика нельзя возвращать Наде, ведь она издевалась над ребенком и даже избивала его. С кем сам Женя хочет жить? Какие тайны скрывает отец мальчика?",0
20.01.2023,Паша будет со мной,https://m-zh.ru/muzhskoe-zhenskoe-20-01-2023-segodnyashnij-vypusk.html,"Паша из Курской области в свои 11 лет копит на памятник, который хочет поставить дедушке на могилку. За последние несколько лет он пережил не только смерть мамы и дедушки. Однако, Паша совсем не один в этом мире. У него есть бабушка и родной отец, который еле пережил инсульт, но успел обзавестись новой семьей. Где все это время были родные мальчика? Какой вердикт вынесут органы опеки? И какой выбор сделает сам Паша?",100
19.01.2023,Мужчина с подвохом,https://m-zh.ru/muzhskoe-zhenskoe-19-01-2023-segodnyashnij-vypusk.html,"20-летняя Катя Харлашкина из города Орел хочет спасти свою 42-летнюю мать Светлану от молодого мужа афериста Андрея. Катя утверждает, что Андрей постоянно избивает и обворовывает Светлану, изменяет ей, а также издевается над приемными детьми. А на свою тещу он повесил два кредита. Андрей же считает себя хорошим семьянином и любящим отцом, ведь сам он в детстве потерял мать и вот уже 20 лет ее разыскивает. Сегодня в студии «Мужского/Женского» мы станем свидетелями долгожданной встречи сына и матери, узнаем, чем 20-летний Андрей зацепил 42-летнюю Светлану и почему дочь Светланы потеряла ребенка.",0
18.01.2023,Очищение огнем,https://m-zh.ru/muzhskoe-zhenskoe-18-01-23-segodnyashnij-vypusk.html,"16 января в доме у многодетной семьи произошел пожар. Соседям чудом удалось спасти шестерых детей. Матери детей во время пожара дома не было. После пожара органы опеки изъяли детей, чем вызвали гнев, а потом и отчаяние у многодетной матери. Однако соседи и родственники 31-летней Любови Асоевой не верят ей и утверждают, что она постоянно оставляла детей одних. Из-за чего начался пожар? В чем готовы признаться родные сестры Любови Асоевой и с кем детям будет лучше — с родной матерью или в интернате?",0
17.01.2023,Дедушкины тараканы,https://m-zh.ru/muzhskoe-zhenskoe-17-01-2023-dedushkiny-tarakany.html,"Иван и Надежда Миркины из поселка Кусино Ленинградской области считают себя образцовой семьей. Пожилая пара взяла под опеку четверых внуков, и они уверены, что прекрасно справляются. Но соседи утверждают, что в семье не все так идеально, а дети находятся в большой опасности. Неравнодушные жители обратились в опеку с просьбой забрать внуков из семьи. Однако Иван Миркин уверен, что соседи попросту ему мстят. Соседи требуют, чтобы власти срочно вмешались в ситуацию и разобрались, откуда вообще у Ивана Миркина появились внуки. Действительно ли дети в семье Ивана Миркина находятся в смертельной опасности? Кто и зачем мстит чете пенсионеров? И что покажет тест ДНК?",0
16.01.2023,Линейка отменяется,https://m-zh.ru/muzhskoe-zhenskoe-16-01-2023-linejka-otmenyaetsya.html,"Праздничный день 1 сентября 2022 года был омрачен шокирующим видео в Интернете. Как выяснилось, накануне дня знаний у многодетной семьи Виктории Земляной из Свердловской области органы опеки силой изъяли приемных детей. Однако представители власти утверждают, что дети сами пожаловались на приемных родителей и для безопасности ребят сотрудники были вынуждены пойти на крайние меры.  Сама приемная мать Виктория Земляная уверяет, что любит своих детей и никогда не делила их на родных и приемных. Она и представить не могла, что мелкий семейный конфликт разрушит ее семью и доведет до суда. Что на самом деле стало причиной конфликта? Как жилось детям с приемными родителями? И есть ли у семьи шанс на воссоединение?",0
13.01.2023,Обмани меня. Реванш. Часть 2,https://m-zh.ru/muzhskoe-zhenskoe-13-01-23-segodnyashnij-vypusk.html,"Дмитрий Раевский утверждает, что он успешно исцеляет от рака и других болезней людей всех возрастов. Среди сотен благодарных пациентов множество родителей, чьи дети получили второй шанс на жизнь. Однако есть и те, кто считают, что Раевский это палач в белом халате. Сегодня в студии «Мужского/Женского» Дмитрий Раевский расскажет все о тяжелобольных детях, и посмотрит в глаза тех родителей, чьих детей он спасти не смог.",0
12.01.2023,Обмани меня. Реванш. Часть 1,https://m-zh.ru/muzhskoe-zhenskoe-12-01-23-segodnyashnij-vypusk.html,"В конце прошлого года рассказывали о человеке, который смело называет себя врачом-новатором. Дмитрия Раевского пригласили принять участие в программе прямо во время эфира. Сегодня Дмитрий Раевский пришел в студию «Мужского/Женского», чтобы ответить на все вопросы.",0
23.01.2023,Страсти по Надежде,https://m-zh.ru/muzhskoe-zhenskoe-23-01-2023-segodnyashnij-vypusk.html,"Из-за пятилетнего Жени настоящий переполох — отец ребенка выкрал его у бывшей жены, отдал чужой женщине, а сам скрылся в неизвестном направлении. Вот уже 3 года биологическая мать Жени Надежда обивает все пороги, надеясь найти мальчика и вернуть его в семью. Тем временем Катя воспитывает Женю как родного и считает, что мальчика нельзя возвращать Наде, ведь она издевалась над ребенком и даже избивала его. С кем сам Женя хочет жить? Какие тайны скрывает отец мальчика?",0
20.01.2023,Паша будет со мной,https://m-zh.ru/muzhskoe-zhenskoe-20-01-2023-segodnyashnij-vypusk.html,"Паша из Курской области в свои 11 лет копит на памятник, который хочет поставить дедушке на могилку. За последние несколько лет он пережил не только смерть мамы и дедушки. Однако, Паша совсем не один в этом мире. У него есть бабушка и родной отец, который еле пережил инсульт, но успел обзавестись новой семьей. Где все это время были родные мальчика? Какой вердикт вынесут органы опеки? И какой выбор сделает сам Паша?",100
19.01.2023,Мужчина с подвохом,https://m-zh.ru/muzhskoe-zhenskoe-19-01-2023-segodnyashnij-vypusk.html,"20-летняя Катя Харлашкина из города Орел хочет спасти свою 42-летнюю мать Светлану от молодого мужа афериста Андрея. Катя утверждает, что Андрей постоянно избивает и обворовывает Светлану, изменяет ей, а также издевается над приемными детьми. А на свою тещу он повесил два кредита. Андрей же считает себя хорошим семьянином и любящим отцом, ведь сам он в детстве потерял мать и вот уже 20 лет ее разыскивает. Сегодня в студии «Мужского/Женского» мы станем свидетелями долгожданной встречи сына и матери, узнаем, чем 20-летний Андрей зацепил 42-летнюю Светлану и почему дочь Светланы потеряла ребенка.",0
18.01.2023,Очищение огнем,https://m-zh.ru/muzhskoe-zhenskoe-18-01-23-segodnyashnij-vypusk.html,"16 января в доме у многодетной семьи произошел пожар. Соседям чудом удалось спасти шестерых детей. Матери детей во время пожара дома не было. После пожара органы опеки изъяли детей, чем вызвали гнев, а потом и отчаяние у многодетной матери. Однако соседи и родственники 31-летней Любови Асоевой не верят ей и утверждают, что она постоянно оставляла детей одних. Из-за чего начался пожар? В чем готовы признаться родные сестры Любови Асоевой и с кем детям будет лучше — с родной матерью или в интернате?",0
17.01.2023,Дедушкины тараканы,https://m-zh.ru/muzhskoe-zhenskoe-17-01-2023-dedushkiny-tarakany.html,"Иван и Надежда Миркины из поселка Кусино Ленинградской области считают себя образцовой семьей. Пожилая пара взяла под опеку четверых внуков, и они уверены, что прекрасно справляются. Но соседи утверждают, что в семье не все так идеально, а дети находятся в большой опасности. Неравнодушные жители обратились в опеку с просьбой забрать внуков из семьи. Однако Иван Миркин уверен, что соседи попросту ему мстят. Соседи требуют, чтобы власти срочно вмешались в ситуацию и разобрались, откуда вообще у Ивана Миркина появились внуки. Действительно ли дети в семье Ивана Миркина находятся в смертельной опасности? Кто и зачем мстит чете пенсионеров? И что покажет тест ДНК?",0
16.01.2023,Линейка отменяется,https://m-zh.ru/muzhskoe-zhenskoe-16-01-2023-linejka-otmenyaetsya.html,"Праздничный день 1 сентября 2022 года был омрачен шокирующим видео в Интернете. Как выяснилось, накануне дня знаний у многодетной семьи Виктории Земляной из Свердловской области органы опеки силой изъяли приемных детей. Однако представители власти утверждают, что дети сами пожаловались на приемных родителей и для безопасности ребят сотрудники были вынуждены пойти на крайние меры.  Сама приемная мать Виктория Земляная уверяет, что любит своих детей и никогда не делила их на родных и приемных. Она и представить не могла, что мелкий семейный конфликт разрушит ее семью и доведет до суда. Что на самом деле стало причиной конфликта? Как жилось детям с приемными родителями? И есть ли у семьи шанс на воссоединение?",0
13.01.2023,Обмани меня. Реванш. Часть 2,https://m-zh.ru/muzhskoe-zhenskoe-13-01-23-segodnyashnij-vypusk.html,"Дмитрий Раевский утверждает, что он успешно исцеляет от рака и других болезней людей всех возрастов. Среди сотен благодарных пациентов множество родителей, чьи дети получили второй шанс на жизнь. Однако есть и те, кто считают, что Раевский это палач в белом халате. Сегодня в студии «Мужского/Женского» Дмитрий Раевский расскажет все о тяжелобольных детях, и посмотрит в глаза тех родителей, чьих детей он спасти не смог.",0
12.01.2023,Обмани меня. Реванш. Часть 1,https://m-zh.ru/muzhskoe-zhenskoe-12-01-23-segodnyashnij-vypusk.html,"В конце прошлого года рассказывали о человеке, который смело называет себя врачом-новатором. Дмитрия Раевского пригласили принять участие в программе прямо во время эфира. Сегодня Дмитрий Раевский пришел в студию «Мужского/Женского», чтобы ответить на все вопросы.",0
11.01.2023,Богдан пополам,https://m-zh.ru/muzhskoe-zhenskoe-11-01-23-segodnyashnij-vypusk.html,"Для 28-летней Илоны последние два года стали настоящим испытанием. Сначала умирает любимая мама. Потом рушится ее семья. А полгода назад она потеряла собственного сына — его украл бывший муж. Однако сам бывший муж уверен, что спас ребенка от нерадивой матери. И пока он занимался воспитанием маленького Богдана, его жена развлекалась с несовершеннолетним юношей. Сегодня в студии «Мужского/Женского» выясним, откуда синяки на теле 3-летнего ребенка. Где Дмитрий скрывает Богдана? И какое наказание грозит Илоне за совращение несовершеннолетнего?",4715
